#ipl z nelem cellwidth spacing xoffset scalex x0 x1 x2 costheta scaley y0 y1 y2 sintheta resolution p1x p1y p1z deltapx deltapy deltapz dp1x dp1y dp1z
27 1893.1 116 2 2 -0.5 320 -2.601 -162.601 157.399 1 166 -79.393 -162.393 3.607 -0.00072 0.064 -118.192 -162.31 1893.35 0.120346 166 0.252319 1.99999 -0.00143999 -0.00654599
28 1895.1 116 2 2 0.5 320 -2.601 -162.601 157.399 1 166 -79.393 -162.393 3.607 -0.00072 0.064 -117.192 -162.31 1895.34 0.120346 166 0.252319 1.99999 -0.00143999 -0.00654599
29 1897.1 134 2 2 -0.5 320 -2.601 -162.601 157.399 0.969969 166 -79.393 -162.393 3.607 -0.24323 0.064 -161.048 -162.272 1897.49 41.6193 165.97 0.116492 2.06154 -0.00148431 -0.00674744
30 1899.1 134 2 2 0.5 320 -2.601 -162.601 157.399 0.969969 166 -79.393 -162.393 3.607 -0.24323 0.064 -160.017 -162.272 1899.48 41.6193 165.97 0.116492 2.06154 -0.00148431 -0.00674744
31 676.587 23 7.32 7.0025 0 162.008 0.693 -80.311 81.697 1 69.85 -37.032 -71.957 -2.107 -0.000563 0 -76.3542 -71.9135 676.569 0.0395569 69.8497 0.207454 7.00249 -0.0039424 -0.00781479
32 676.587 23 7.32 7.0025 0 162.008 0.693 -80.311 81.697 1 69.85 37.009 2.084 71.934 -0.000563 0 -76.3542 2.12753 676.569 0.0395569 69.8497 0.207454 7.00249 -0.0039424 -0.00781479
33 663.415 20 7.32 7.0025 0 78.74 40.767 1.397 80.137 0.000686327 140.117 0.104 -69.9545 70.1625 1 0 80.1826 66.6007 663.27 0 0 0 0 0 0
34 663.415 20 7.32 7.0025 0 78.74 -37.973 -77.343 1.397 0.000686327 140.117 0.104 -69.9545 70.1625 1 0 1.44263 66.6007 663.27 0 0 0 0 0 0
35 1404.42 19 13 12.6825 0 132 64.438 -1.562 130.438 -0.00323367 241.285 0.82 -119.823 121.463 0.999995 0 130.054 115.169 1402.57 0 0 0 0 0 0
36 1404.42 19 13 12.6825 0 132 -67.562 -133.562 -1.562 -0.00323367 241.285 0.82 -119.823 121.463 0.999995 0 -1.94593 115.169 1402.57 0 0 0 0 0 0
